Name,Pay (USD millions),Year,Category
Dave Matthews Band,30.0,2006,Musicians
Tom Hanks,29.0,2006,Actors
Tom Brady,29.0,2006,Athletes
Carson Palmer,28.0,2006,Athletes
Jodie Foster,27.0,2006,Actresses
Ronaldinho,26.0,2006,Athletes
Rick Warren,25.0,2006,Authors
Leonardo DiCaprio,25.0,2006,Actors
Kiefer Sutherland,23.0,2006,Television actors
Renee Zellweger,21.0,2006,Actresses
John Grisham,21.0,2006,Authors
Jim Carrey,20.0,2006,Comedians
Larry the Cable Guy,19.0,2006,Comedians
Michelle Wie,17.0,2006,Athletes
Scarlett Johansson,16.0,2006,Actresses
Halle Berry,16.0,2006,Actresses
Katie Couric,15.0,2006,Personalities
Angelina Jolie,14.0,2006,Actresses
Diane Sawyer,12.0,2006,Personalities
George Lopez,12.0,2006,Comedians
Ryan Seacrest,12.0,2006,Personalities
Reese Witherspoon,9.0,2006,Actresses
Bill O'Reilly,9.0,2006,Personalities
Matthew Broderick,9.0,2006,Actors
Eric Idle,9.0,2006,Comedians
Rachael Ray,6.0,2006,Personalities
Ty Pennington,6.0,2006,Television actors
Mel Brooks,5.0,2006,Directors/Producers
Mario Batali,5.0,2006,Personalities
Nicole Richie,2.0,2006,Personalities
Jay-Z,83.0,2007,Musicians
Grey's Anatomy cast,33.0,2007,Television actresses
Bon Jovi,67.0,2007,Musicians
Ben Stiller,38.0,2007,Actors
Brian Grazer,70.0,2007,Directors/Producers
Justin Timberlake,20.0,2007,Musicians
Tim McGraw,37.0,2007,Musicians
Roger Federer,29.0,2007,Athletes
George Clooney,25.0,2007,Actors
Kimi Raikkonen,40.0,2007,Athletes
Vince Vaughn,25.0,2007,Actors
Gore Verbinski,37.0,2007,Directors/Producers
Anthony Robbins,30.0,2007,Actors
Cate Blanchett,13.0,2007,Actresses
Alan Greenspan,16.0,2007,Personalities
Keira Knightley,9.0,2007,Actresses
Barbara Walters,12.0,2007,Personalities
Jessica Alba,9.0,2007,Television actresses
Daniel Radcliffe,15.0,2007,Actors
Deepak Chopra,22.0,2007,Musicians
J.J. Abrams,17.0,2007,Directors/Producers
Dane Cook,9.0,2007,Comedians
Jeff Foxworthy,10.0,2007,Comedians
Rhonda Byrne,12.0,2007,Authors
Dakota Fanning,4.0,2007,Actresses
Danica Patrick,5.0,2007,Athletes
Mitch Albom,6.0,2007,Authors
Emma Watson,4.0,2007,Actresses
Hayden Panettiere,2.0,2007,Television actresses
Paula Deen,4.0,2007,Personalities
Bobby Flay,2.0,2007,Personalities
Beyonce Knowles,80.0,2008,Musicians
The Police,115.0,2008,Musicians
Kanye West,30.0,2008,Musicians
Bruce Willis,41.0,2008,Actors
Stephen King,45.0,2008,Authors
Miley Cyrus,25.0,2008,Musicians
Tyler Perry,125.0,2008,Directors/Producers
Fernando Alonso,33.0,2008,Athletes
Nicolas Cage,38.0,2008,Actors
Spice Girls,21.0,2008,Musicians
Dale Earnhardt Jr.,31.0,2008,Athletes
Kevin Garnett,29.0,2008,Athletes
Gwen Stefani,27.0,2008,Musicians
Alicia Keys,15.0,2008,Musicians
Gwyneth Paltrow,25.0,2008,Actresses
Eva Longoria,9.0,2008,Television actresses
Sarah Jessica Parker,18.0,2008,Television actresses
Katherine Heigl,13.0,2008,Models
Tom Clancy,35.0,2008,Authors
Carrie Underwood,9.0,2008,Musicians
Jon Stewart,14.0,2008,Personalities
Justine Henin,12.5,2008,Athletes
Judd Apatow,27.0,2008,Directors/Producers
Patrick Dempsey,13.5,2008,Television actors
Charlie Sheen,20.0,2008,Television actors
Drew Carey,12.0,2008,Comedians
Steve Carell,5.0,2008,Comedians
Lorena Ochoa,10.0,2008,Athletes
Jonas Brothers,12.0,2008,Musicians
Howie Mandel,14.0,2008,Comedians
Zac Efron,5.8,2008,Actors
Ashley Tisdale,5.5,2008,Television actresses
Gordon Ramsay,7.5,2008,Personalities
Jennifer Love Hewitt,5.0,2008,Television actresses
Lauren Conrad,1.5,2008,Personalities
Vanessa Williams,4.5,2008,Television actresses
Tina Fey,4.6,2008,Television actresses
Britney Spears,35.0,2009,Musicians
Coldplay,70.0,2009,Musicians
Harrison Ford,65.0,2009,Actors
Stephenie Meyer,50.0,2009,Authors
Kenny Chesney,65.0,2009,Musicians
Clint Eastwood,35.0,2009,Directors/Producers
Eddie Murphy,40.0,2009,Comedians
Rascal Flatts,60.0,2009,Musicians
AC DC,60.0,2009,Musicians
Barack Obama,2.0,2009,Personalities
Chris Rock,42.0,2009,Comedians
Manny Pacquiao,40.0,2009,Athletes
Toby Keith,52.0,2009,Musicians
Meryl Streep,24.0,2009,Actresses
Larry David,55.0,2009,Comedians
Taylor Swift,18.0,2009,Musicians
Glenn Beck,23.0,2009,Personalities
Jeff Dunham,30.0,2009,Comedians
Anne Hathaway,7.0,2009,Actresses
Ana Ivanovic,10.0,2009,Athletes
Alec Baldwin,8.0,2009,Actors
Hugh Laurie,10.0,2009,Television actors
Penn & Teller,20.0,2009,Magicians
Mariska Hargitay,8.0,2009,Television actresses
James Cameron,210.0,2010,Directors/Producers
Lady Gaga,62.0,2010,Musicians
Black Eyed Peas,48.0,2010,Musicians
Pink,44.0,2010,Musicians
Floyd Mayweather,65.0,2010,Athletes
Michael Bay,120.0,2010,Directors/Producers
Cristiano Ronaldo,36.0,2010,Athletes
Robert Pattinson,17.0,2010,Actors
Conan O'Brien,38.0,2010,Personalities
Kristen Stewart,12.0,2010,Actresses
Robert Downey Jr.,22.0,2010,Actors
Lil Wayne,20.0,2010,Musicians
Keith Urban,27.5,2010,Musicians
Akon,21.0,2010,Musicians
Kate Hudson,11.0,2010,Actresses
Chelsea Handler,19.0,2010,Comedians
Justin Bieber,53.0,2011,Musicians
Katy Perry,44.0,2011,Musicians
Usher,46.0,2011,Musicians
Muse,35.0,2011,Musicians
Bethenny Frankel,55.0,2011,Personalities
Rafael Nadal,31.0,2011,Athletes
Christopher Nolan,53.0,2011,Directors/Producers
Brad Paisley,40.0,2011,Musicians
Dwyane Wade,26.0,2011,Athletes
Dwight Howard,28.0,2011,Athletes
Lionel Messi,32.0,2011,Athletes
Mark Burnett,45.0,2011,Directors/Producers
Eminem,14.0,2011,Musicians
Peyton Manning,26.0,2011,Athletes
Mark Wahlberg,28.0,2011,Actors
Natalie Portman,8.0,2011,Actresses
Chuck Lorre,35.0,2011,Directors/Producers
Danielle Steel,35.0,2011,Authors
Courteney Cox,7.0,2011,Television actresses
Mark Harmon,13.0,2011,Television actors
Teri Hatcher,9.0,2011,Television actresses
Rihanna,53.0,2012,Musicians
Kim Kardashian,18.0,2012,Personalities
Adele,35.0,2012,Musicians
Dr. Dre,110.0,2012,Musicians
Ashton Kutcher,24.0,2012,Actors
Taylor Lautner,26.0,2012,Actors
Dwayne Johnson,36.0,2012,Actors
Khloe Kardashian Odom,11.0,2012,Personalities
Seth MacFarlane,36.0,2012,Directors/Producers
Charlize Theron,18.0,2012,Actresses
Sofia Vergara,19.0,2012,Television actresses
Janet Evanovich,33.0,2012,Authors
Tiesto,23.0,2012,Musicians
Li Na,18.0,2012,Athletes
Skrillex,15.0,2012,Musicians
Zooey Deschanel,9.0,2012,Actresses
Tim Allen,14.0,2012,Television actors
Melissa McCarthy,6.0,2012,Actresses
Hugh Jackman,55.0,2013,Actors
Channing Tatum,60.0,2013,Actors
Ben Affleck,25.0,2013,Actors
E.L. James,95.0,2013,Authors
Usain Bolt,24.0,2013,Athletes
Jennifer Lawrence,26.0,2013,Actresses
Drew Brees,51.0,2013,Athletes
Calvin Harris,46.0,2013,Musicians
Sean Hannity,30.0,2013,Personalities
David Guetta,30.0,2013,Musicians
Emma Stone,16.0,2013,Actresses
Neil Patrick Harris,15.0,2013,Television actors
Suzanne Collins,55.0,2013,Authors
Mila Kunis,11.0,2013,Actresses
Amy Poehler,7.0,2013,Actresses
Kevin Hart,14.0,2013,Comedians
Louis C.K.,16.0,2013,Comedians
Joss Whedon,25.0,2013,Directors/Producers
Miranda Kerr,7.0,2013,Models
Bruno Mars,60.0,2014,Musicians
Tylor Swift,64.0,2014,Musicians
One Direction,75.0,2014,Musicians
Kevin Durant,32.0,2014,Athletes
Pharrell Williams,22.0,2014,Musicians
Novak Djokovic,33.0,2014,Athletes
Jimmy Fallon,12.0,2014,Personalities
Avicii,28.0,2014,Musicians
Bradley Cooper,46.0,2014,Actors
Matthew McConaughey,21.0,2014,Actors
Vin Diesel,25.0,2014,Actors
Kevin Spacey,16.0,2014,Television actors
John Green,9.0,2014,Authors
Amy Adams,13.0,2014,Actresses
Bryan Cranston,7.0,2014,Television actors
Jon Hamm,10.0,2014,Television actors
Kerry Washington,6.0,2014,Actresses
Kate Upton,7.0,2014,Models
Veronica Roth,17.0,2014,Authors
Garth Brooks,90.0,2015,Musicians
Fleetwood Mac,59.5,2015,Musicians
Ed Sheeran,57.0,2015,Musicians
Jackie Chan,50.0,2015,Actors
Ben Roethlisberger,49.0,2015,Athletes
Rory McIlroy,48.5,2015,Athletes
Judy Sheindlin,47.0,2015,Personalities
Michael BublÃÂÃÂ©,45.5,2015,Musicians
Jason Aldean,43.5,2015,Musicians
Luke Bryan,42.5,2015,Musicians
Drake,39.5,2015,Hip-hop impresario
Lewis Hamilton,39.0,2015,Athletes
Zlatan Ibrahimovic,39.0,2015,Athletes
Ndamukong Suh,38.5,2015,Athletes
Foo Fighters,38.0,2015,Musicians
Florida Georgia Line,36.5,2015,Musicians
Jimmy Buffett,36.0,2015,Musicians
Gareth Bale,35.0,2015,Athletes
Jon Lester,34.0,2015,Athletes
Derrick Rose,34.0,2015,Athletes
Amitabh Bachchan,33.5,2015,Actors
Salman Khan,33.5,2015,Actors
Maroon 5,33.0,2015,Musicians
Sebastian Vettel,33.0,2015,Athletes
Akshay Kumar,32.5,2015,Actors
Zac Brown Band,32.0,2015,Musicians
Mahendra Singh Dhoni,31.0,2015,Athletes
Neymar,31.0,2015,Athletes
Carmelo Anthony,30.5,2015,Athletes
Jim Parsons,29.0,2015,Television actors
James Rodriguez,29.0,2015,Athletes
Kaley Cuoco-Sweeting,28.5,2015,Television actresses
Miranda Lambert,28.5,2015,Musicians
Blake Shelton,28.5,2015,Musicians
The Weeknd,55.0,2016,Musicians
Cam Newton,53.0,2016,Athletes
Jordan Spieth,53.0,2016,Athletes
Eli Manning,45.0,2016,Athletes
Joe Flacco,44.5,2016,Athletes
Bigbang,44.0,2016,Musicians
Russell Wilson,42.0,2016,Athletes
Mumford & Sons,40.0,2016,Musicians
Philip Rivers,38.0,2016,Athletes
Marcell Dareus,35.0,2016,Athletes
A.J. Green,33.5,2016,Athletes
Kei Nishikori,33.5,2016,Athletes
James Harden,33.0,2016,Athletes
Shah Rukh Khan,33.0,2016,Actors
Clayton Kershaw,32.0,2016,Athletes
Guns N' Roses,84.0,2017,Musicians
Red Hot Chili Peppers,54.0,2017,Musicians
Andrew Luck,50.0,2017,Athletes
Stephen Curry,47.3,2017,Athletes
Steve Harvey,42.5,2017,Personalities
Kylie Jenner,41.0,2017,Personalities
Russell Westbrook,38.6,2017,Athletes
Damian Lillard,38.4,2017,Athletes
The Chainsmokers,38.0,2017,Musicians
Amy Schumer,37.5,2017,Comedians
Dolly Parton,37.0,2017,Musicians
Billy Joel,35.0,2017,Musicians
Conor McGregor,34.0,2017,Athletes
Fletcher Cox,33.4,2017,Athletes
Chance The Rapper,33.0,2017,Musicians
Roger Waters,68.0,2018,Musicians
Matt Ryan,67.3,2018,Athletes
Chris Hemsworth,64.5,2018,Actors
Matthew Stafford,59.5,2018,Athletes
Kendrick Lamar,58.0,2018,Musicians
Depeche Mode,53.0,2018,Musicians
Canelo Alvarez,44.5,2018,Athletes
Derek Carr,42.1,2018,Athletes
Alex Smith,41.4,2018,Athletes
Anthony Joshua,39.0,2018,Athletes
Kris Jenner,37.5,2018,Personalities
Trumaine Johnson,37.0,2018,Athletes
Imagine Dragons,36.5,2018,Musicians
Jimmy Garoppolo,36.2,2018,Athletes
Kyrie Irving,36.1,2018,Athletes
Giannis Antetokounmpo,35.5,2018,Athletes
J. Cole,35.5,2018,Musicians
Blake Griffin,35.5,2018,Athletes
Ryan Tannehill,35.2,2018,Athletes
Von Miller,35.1,2018,Athletes
Nas,35.0,2018,Musicians
Aaron Rodgers,89.3,2019,Athletes
Travis Scott,58.0,2019,Musicians
BTS,57.0,2019,Musicians
Khalil Mack,55.0,2019,Athletes
Mike Trout,50.6,2019,Athletes
Ariana Grande,48.0,2019,Musicians
DeMarcus Lawrence,46.9,2019,Athletes
Bryce Harper,44.5,2019,Athletes
Chris Paul,43.8,2019,Athletes
Chris Evans,43.5,2019,Actors
Aaron Donald,41.4,2019,Athletes
Paul Rudd,41.0,2019,Actors
DJ Khaled,40.0,2019,Musicians
Marshmello,40.0,2019,Musicians
Paul George,38.6,2019,Athletes
Brandin Cooks,38.0,2019,Athletes
Shawn Mendes,38.0,2019,Musicians
Bill Simmons,82.5,2020,Personalities
Ryan Reynolds,71.5,2020,Actors
Kirk Cousins,60.5,2020,Athletes
Post Malone,60.0,2020,Musicians
Carson Wentz,59.1,2020,Athletes
Tyson Fury,57.0,2020,Athletes
Sean Combs,55.0,2020,Musicians
Billie Eilish,53.0,2020,Musicians
Kim Kardashian West,49.5,2020,Personalities
Jared Goff,49.0,2020,Athletes
Deontay Wilder,46.5,2020,Athletes
Lin-Manuel Miranda,45.5,2020,Actors
Backstreet Boys,45.0,2020,Musicians
Phil Collins,45.0,2020,Musicians
Sofia Vergara,43.0,2020,Television Acresses
Julio Jones,40.5,2020,Athletes
Klay Thompson,38.8,2020,Athletes
Naomi Osaka,37.4,2020,Athletes
Mohamed Salah,35.1,2020,Athletes
